                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.12396,                0.02836,                      0,                0.11809,                0.79175,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.09445,                0.00787,                      0,                0.08635,                0.76028,              0.0012377,              0.0012377,              0.0012377
                     79,                0.12168,                0.01863,                      0,                 0.1154,                0.79383,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.07333,                0.00533,                      0,                0.07473,                0.75754,              0.0012278,              0.0012278,              0.0012278
                     80,                0.11759,                0.02303,                      0,                0.11412,                0.78955,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.08631,                0.00762,                      0,                0.07814,                0.75806,              0.0012179,              0.0012179,              0.0012179
                     81,                0.11117,                0.02044,                      0,                0.11172,                 0.7881,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.08028,                0.00551,                      0,                0.07767,                 0.7584,               0.001208,               0.001208,               0.001208
                     82,                 0.1145,                0.02063,                      0,                0.11507,                0.79238,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.07212,                0.00637,                      0,                 0.0811,                0.75753,              0.0011981,              0.0011981,              0.0011981
                     83,                0.10677,                0.01729,                      0,                0.10784,                0.79065,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.07829,                0.00753,                      0,                0.07543,                0.75844,              0.0011882,              0.0011882,              0.0011882
                     84,                0.11163,                0.01994,                      0,                0.11007,                0.78932,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.08439,                0.00688,                      0,                0.08337,                0.75922,              0.0011783,              0.0011783,              0.0011783
                     85,                0.10299,                0.01337,                      0,                0.10442,                0.79043,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.07058,                0.00445,                      0,                0.07521,                0.75723,              0.0011684,              0.0011684,              0.0011684
                     86,                0.10999,                0.01339,                      0,                0.10679,                0.79004,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.07531,                0.00474,                      0,                0.07381,                0.75809,              0.0011585,              0.0011585,              0.0011585
                     87,                0.11026,                0.01784,                      0,                0.10686,                0.78873,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.08915,                0.00646,                      0,                0.08082,                0.75968,              0.0011486,              0.0011486,              0.0011486
                     88,                0.10751,                 0.0169,                      0,                 0.1054,                0.78833,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                  0.069,                0.00564,                      0,                0.08095,                0.75707,              0.0011387,              0.0011387,              0.0011387
                     89,                0.10976,                0.01673,                      0,                0.10715,                0.79022,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.06724,                0.00614,                      0,                0.06762,                0.75709,              0.0011288,              0.0011288,              0.0011288
                     90,                0.10651,                0.01555,                      0,                0.10665,                0.78622,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                 0.0686,                0.00439,                      0,                0.07787,                0.75748,              0.0011189,              0.0011189,              0.0011189
                     91,                0.10722,                 0.0138,                      0,                0.10606,                0.78858,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.06814,                0.00394,                      0,                0.06585,                0.75715,               0.001109,               0.001109,               0.001109
                     92,                0.09931,                0.01224,                      0,                0.10176,                0.78594,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.06494,                 0.0041,                      0,                0.06832,                0.75647,              0.0010991,              0.0010991,              0.0010991
                     93,                0.10406,                0.01468,                      0,                0.10074,                0.78859,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.06709,                0.00441,                      0,                0.06657,                0.75677,              0.0010892,              0.0010892,              0.0010892
                     94,                0.10344,                0.01431,                      0,                0.10316,                0.79128,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.06924,                0.00444,                      0,                0.07573,                0.75719,              0.0010793,              0.0010793,              0.0010793
                     95,                 0.1006,                0.01295,                      0,                0.10166,                0.78083,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.06989,                0.00488,                      0,                0.07445,                0.75726,              0.0010694,              0.0010694,              0.0010694
                     96,                 0.1006,                0.01339,                      0,                0.10112,                0.78379,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.07335,                0.00611,                      0,                0.07558,                0.75753,              0.0010595,              0.0010595,              0.0010595
                     97,                0.10428,                0.01324,                      0,                0.10453,                0.78956,                0.99978,                      1,                  0.995,                  0.995,                0.99978,                      1,                  0.995,                  0.995,                 0.0674,                0.00527,                      0,                0.07362,                0.75675,              0.0010496,              0.0010496,              0.0010496
                     98,                0.09847,                  0.013,                      0,                0.09964,                0.79149,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.06754,                0.00428,                      0,                0.07039,                0.75706,              0.0010397,              0.0010397,              0.0010397
